id;name;company;compositions;units;price
1;SAS Gloves;Representative Innovative Reverse-engineered;Music Fork Business-focused;39956;88989
2;Table Robust;Implementation Director;syndicate;21152;22190
3;ubiquitous reintermediate;Security;Personal Loan Account lime;14325;91241
4;Handcrafted Credit Card Account;needs-based;Saint Kitts and Nevis;26587;32358
5;lime quantifying Plain;Jamaican Dollar invoice iterate;1080p Prairie deposit;91875;27430
6;e-business;Executive Fantastic Cotton Table;convergence clicks-and-mortar Niue;56697;13416
7;interfaces copying;SMS;out-of-the-box Garden;15127;84482
8;input Nevada Avon;Dynamic;Kentucky National Investor;27260;26548
9;Credit Card Account;infrastructure Rustic input;International Program;85423;81977
10;withdrawal Money Market Account;infrastructures;alarm;81059;90813
