id;name;hierarchy;descriptions;opening_date;extra_id
1;Virtual;transmitter Seychelles Rupee;AGP Tools New Hampshire;2021-02-22;Incredible Cotton Pizza
2;scalable;capability;TCP blue Representative;2021-02-21;Intelligent Granite Shirt Savings Account
3;Wisconsin;France parsing instruction set;Cotton Savings Account;2021-02-21;extranet
4;Slovakia (Slovak Republic);Clothing;fuchsia Generic Granite Table;2021-02-22;User-friendly
5;TCP;Home distributed;Universal Executive;2021-02-21;salmon bypassing infrastructures
6;engineer capacity;Oregon;Identity;2021-02-22;1080p Cross-platform
7;markets;Investor;Licensed Home Loan Account New York;2021-02-22;mint green back-end
8;Tasty;Cordoba Oro copy;payment;2021-02-21;Armenian Dram
9;bus connect RAM;online orchestrate quantifying;Sausages program;2021-02-22;Money Market Account
10;Fundamental Fish Quality;Berkshire 24/7;Fresh Electronics;2021-02-21;Innovative Licensed Plastic Fish
